step,epoch,hp_metric,lr-Adam,test/CER,test/DER,test/IER,test/SER,test/loss,train/CER,train/DER,train/IER,train/SER,train/loss,train/lr,val/CER,val/DER,val/IER,val/SER,val/loss
0,,-1.0,,,,,,,,,,,,,,,,,
45120,,,2.7805654099211097e-05,,,,,,,,,,,,,,,,
45149,94.0,,,,,,,,,,,,0.6303640007972717,,,,,,
45199,94.0,,,,,,,,,,,,0.6970150470733643,,,,,,
45249,94.0,,,,,,,,,,,,0.7071771621704102,,,,,,
45299,94.0,,,,,,,,,,,,0.6729856133460999,,,,,,
45349,94.0,,,,,,,,,,,,0.8140403032302856,,,,,,
45399,94.0,,,,,,,,,,,,1.0860929489135742,,,,,,
45449,94.0,,,,,,,,,,,,1.1980915069580078,,,,,,
45499,94.0,,,,,,,,,,,,0.7985072731971741,,,,,,
45549,94.0,,,,,,,,,,,,1.100822925567627,,,,,,
45599,94.0,,,,,,,,0.0,0.0,0.0,0.0,0.816734254360199,3.000000106112566e-06,24.12494468688965,1.2848914861679077,9.968985557556152,12.871068000793457,0.7725686430931091
45600,,,2.74222475127317e-05,,,,,,,,,,,,,,,,
45649,95.0,,,,,,,,,,,,0.7390012741088867,,,,,,
45699,95.0,,,,,,,,,,,,0.8633860349655151,,,,,,
45749,95.0,,,,,,,,,,,,0.7736679911613464,,,,,,
45799,95.0,,,,,,,,,,,,0.8855655789375305,,,,,,
45849,95.0,,,,,,,,,,,,1.0081194639205933,,,,,,
45899,95.0,,,,,,,,,,,,0.9953097105026245,,,,,,
45949,95.0,,,,,,,,,,,,0.8079755306243896,,,,,,
45999,95.0,,,,,,,,,,,,0.7290270328521729,,,,,,
46049,95.0,,,,,,,,,,,,0.831302285194397,,,,,,
46079,95.0,,,,,,,,0.0,0.0,0.0,0.0,,3.000000106112566e-06,24.080638885498047,1.3291980028152466,10.810811042785645,11.940629005432129,0.7614840865135193
46080,,,2.7038367989007384e-05,,,,,,,,,,,,,,,,
46099,96.0,,,,,,,,,,,,0.852829098701477,,,,,,
46149,96.0,,,,,,,,,,,,0.7424638271331787,,,,,,
46199,96.0,,,,,,,,,,,,0.7634217143058777,,,,,,
46249,96.0,,,,,,,,,,,,0.782659649848938,,,,,,
46299,96.0,,,,,,,,,,,,0.721386194229126,,,,,,
46349,96.0,,,,,,,,,,,,0.5124992728233337,,,,,,
46399,96.0,,,,,,,,,,,,0.599097728729248,,,,,,
46449,96.0,,,,,,,,,,,,1.017711877822876,,,,,,
46499,96.0,,,,,,,,,,,,0.8903969526290894,,,,,,
46549,96.0,,,,,,,,,,,,0.6484973430633545,,,,,,
46559,96.0,,,,,,,,0.0,0.0,0.0,0.0,,3.000000106112566e-06,24.346477508544922,1.4178112745285034,10.74435043334961,12.18431568145752,0.7747026085853577
46560,,,2.6654108296497725e-05,,,,,,,,,,,,,,,,
46599,97.0,,,,,,,,,,,,1.3036646842956543,,,,,,
46649,97.0,,,,,,,,,,,,0.8794370889663696,,,,,,
46699,97.0,,,,,,,,,,,,0.6873745918273926,,,,,,
46749,97.0,,,,,,,,,,,,0.9367424845695496,,,,,,
46799,97.0,,,,,,,,,,,,0.998874306678772,,,,,,
46849,97.0,,,,,,,,,,,,0.7500022649765015,,,,,,
46899,97.0,,,,,,,,,,,,0.8622061014175415,,,,,,
46949,97.0,,,,,,,,,,,,0.8711369037628174,,,,,,
46999,97.0,,,,,,,,,,,,0.8217727541923523,,,,,,
47039,97.0,,,,,,,,0.0,0.0,0.0,0.0,,3.000000106112566e-06,23.726184844970703,1.3070447444915771,9.902525901794434,12.51661491394043,0.778161346912384
47040,,,2.626956302265171e-05,,,,,,,,,,,,,,,,
47049,98.0,,,,,,,,,,,,0.77816241979599,,,,,,
47099,98.0,,,,,,,,,,,,0.6306482553482056,,,,,,
47149,98.0,,,,,,,,,,,,0.8636558055877686,,,,,,
47199,98.0,,,,,,,,,,,,0.8812249898910522,,,,,,
47249,98.0,,,,,,,,,,,,0.7341628074645996,,,,,,
47299,98.0,,,,,,,,,,,,0.6602109670639038,,,,,,
47349,98.0,,,,,,,,,,,,1.205935001373291,,,,,,
47399,98.0,,,,,,,,,,,,0.8102600574493408,,,,,,
47449,98.0,,,,,,,,,,,,0.9828904867172241,,,,,,
47499,98.0,,,,,,,,,,,,0.7357200980186462,,,,,,
47519,98.0,,,,,,,,0.0,0.0,0.0,0.0,,3.000000106112566e-06,23.947717666625977,1.3070447444915771,10.146211624145508,12.494462013244629,0.7802037000656128
47520,,,2.5884828573907726e-05,,,,,,,,,,,,,,,,
