step,epoch,hp_metric,lr-Adam,train/CER,train/DER,train/IER,train/SER,train/loss,train/lr,val/CER,val/DER,val/IER,val/SER,val/loss
0,,-1.0,,,,,,,,,,,,
6720,,,4.940996223012917e-05,,,,,,,,,,,
6749,14.0,,,,,,,1.892179250717163,,,,,,
6799,14.0,,,,,,,1.877269983291626,,,,,,
6849,14.0,,,,,,,2.0973193645477295,,,,,,
6899,14.0,,,,,,,1.9413293600082397,,,,,,
6949,14.0,,,,,,,1.9811575412750244,,,,,,
6999,14.0,,,,,,,2.0761823654174805,,,,,,
7049,14.0,,,,,,,2.0302042961120605,,,,,,
7099,14.0,,,,,,,1.8846287727355957,,,,,,
7149,14.0,,,,,,,2.295620918273926,,,,,,
7199,14.0,,,0.0,0.0,0.0,0.0,1.5610971450805664,4.999999873689376e-05,89.96455383300781,0.0,89.67655944824219,0.287992924451828,1.7927515506744385
7200,,,4.932306183036417e-05,,,,,,,,,,,
7249,15.0,,,,,,,1.918971300125122,,,,,,
7299,15.0,,,,,,,1.9531903266906738,,,,,,
7349,15.0,,,,,,,1.83573579788208,,,,,,
7399,15.0,,,,,,,1.9722580909729004,,,,,,
7449,15.0,,,,,,,2.0993151664733887,,,,,,
7499,15.0,,,,,,,2.1457290649414062,,,,,,
7549,15.0,,,,,,,1.854382038116455,,,,,,
7599,15.0,,,,,,,1.8678276538848877,,,,,,
7649,15.0,,,,,,,1.9328993558883667,,,,,,
7679,15.0,,,0.0,0.0,0.0,0.0,,4.999999873689376e-05,86.19849395751953,0.0,85.79973602294922,0.3987594246864319,1.6654962301254272
7680,,,4.9230286094825715e-05,,,,,,,,,,,
7699,16.0,,,,,,,1.9420137405395508,,,,,,
7749,16.0,,,,,,,1.8327959775924683,,,,,,
7799,16.0,,,,,,,1.8299899101257324,,,,,,
7849,16.0,,,,,,,1.9217147827148438,,,,,,
7899,16.0,,,,,,,1.7222951650619507,,,,,,
7949,16.0,,,,,,,1.783965826034546,,,,,,
7999,16.0,,,,,,,1.754608154296875,,,,,,
8049,16.0,,,,,,,2.144679307937622,,,,,,
8099,16.0,,,,,,,2.0433883666992188,,,,,,
8149,16.0,,,,,,,1.8024041652679443,,,,,,
8159,16.0,,,0.0,0.0,0.0,0.0,,4.999999873689376e-05,85.04652404785156,0.0,84.581298828125,0.46521931886672974,1.6880931854248047
8160,,,4.913165685138665e-05,,,,,,,,,,,
8199,17.0,,,,,,,2.3054213523864746,,,,,,
8249,17.0,,,,,,,1.944852590560913,,,,,,
8299,17.0,,,,,,,1.7581415176391602,,,,,,
8349,17.0,,,,,,,1.9650471210479736,,,,,,
8399,17.0,,,,,,,2.124502420425415,,,,,,
8449,17.0,,,,,,,1.8496572971343994,,,,,,
8499,17.0,,,,,,,1.8103575706481934,,,,,,
8549,17.0,,,,,,,1.9012056589126587,,,,,,
8599,17.0,,,,,,,1.9117732048034668,,,,,,
8639,17.0,,,0.0,0.0,0.0,0.0,,4.999999873689376e-05,81.76782989501953,0.0,80.94815826416016,0.8196721076965332,1.6497747898101807
8640,,,4.902719592791982e-05,,,,,,,,,,,
8649,18.0,,,,,,,1.802506923675537,,,,,,
8699,18.0,,,,,,,1.626668930053711,,,,,,
8749,18.0,,,,,,,1.7026220560073853,,,,,,
8799,18.0,,,,,,,1.87192964553833,,,,,,
8849,18.0,,,,,,,1.7110717296600342,,,,,,
8899,18.0,,,,,,,1.5815449953079224,,,,,,
8949,18.0,,,,,,,2.2234911918640137,,,,,,
8999,18.0,,,,,,,1.9258003234863281,,,,,,
9049,18.0,,,,,,,1.709385633468628,,,,,,
9099,18.0,,,,,,,1.9987690448760986,,,,,,
9119,18.0,,,0.0,0.0,0.0,0.0,,4.999999873689376e-05,82.27735900878906,0.022153301164507866,81.6792221069336,0.575985848903656,1.6184839010238647
9120,,,4.891692879027687e-05,,,,,,,,,,,
9149,19.0,,,,,,,1.8878822326660156,,,,,,
9199,19.0,,,,,,,1.7277181148529053,,,,,,
9249,19.0,,,,,,,1.8338909149169922,,,,,,
9299,19.0,,,,,,,1.7081407308578491,,,,,,
9349,19.0,,,,,,,1.7631927728652954,,,,,,
9399,19.0,,,,,,,1.5828686952590942,,,,,,
9449,19.0,,,,,,,1.8191919326782227,,,,,,
9499,19.0,,,,,,,1.7565357685089111,,,,,,
9549,19.0,,,,,,,1.5890841484069824,,,,,,
9599,19.0,,,0.0,0.0,0.0,0.0,1.306294322013855,4.999999873689376e-05,80.70447540283203,0.022153301164507866,79.72972869873047,0.9525919556617737,1.572860836982727
9600,,,4.880088454228826e-05,,,,,,,,,,,
9649,20.0,,,,,,,1.8887383937835693,,,,,,
9699,20.0,,,,,,,1.5620131492614746,,,,,,
9749,20.0,,,,,,,1.6263728141784668,,,,,,
9799,20.0,,,,,,,1.706594705581665,,,,,,
9849,20.0,,,,,,,1.787908911705017,,,,,,
9899,20.0,,,,,,,1.7376058101654053,,,,,,
9949,20.0,,,,,,,1.9527605772018433,,,,,,
9999,20.0,,,,,,,1.9678106307983398,,,,,,
10049,20.0,,,,,,,1.6846730709075928,,,,,,
10079,20.0,,,0.0,0.0,0.0,0.0,,4.999999873689376e-05,74.25786590576172,0.04430660232901573,72.24191284179688,1.9716438055038452,1.4876827001571655
10080,,,4.867909228778444e-05,,,,,,,,,,,
10099,21.0,,,,,,,1.7184059619903564,,,,,,
10149,21.0,,,,,,,1.8669227361679077,,,,,,
10199,21.0,,,,,,,1.7331604957580566,,,,,,
10249,21.0,,,,,,,1.8242104053497314,,,,,,
10299,21.0,,,,,,,1.6488854885101318,,,,,,
10349,21.0,,,,,,,1.853515386581421,,,,,,
10399,21.0,,,,,,,1.465057373046875,,,,,,
10449,21.0,,,,,,,1.7090239524841309,,,,,,
10499,21.0,,,,,,,1.5058276653289795,,,,,,
10549,21.0,,,,,,,1.4409379959106445,,,,,,
10559,21.0,,,0.0,0.0,0.0,0.0,,4.999999873689376e-05,69.38414001464844,0.04430660232901573,65.88391876220703,3.4559149742126465,1.4227014780044556
10560,,,4.855157749261707e-05,,,,,,,,,,,
10599,22.0,,,,,,,1.8313701152801514,,,,,,
10649,22.0,,,,,,,1.5615119934082031,,,,,,
10699,22.0,,,,,,,1.7206666469573975,,,,,,
10749,22.0,,,,,,,1.6136503219604492,,,,,,
10799,22.0,,,,,,,1.8660602569580078,,,,,,
10849,22.0,,,,,,,1.599069356918335,,,,,,
10899,22.0,,,,,,,1.8079090118408203,,,,,,
10949,22.0,,,,,,,1.7596347332000732,,,,,,
10999,22.0,,,,,,,1.7832852602005005,,,,,,
11039,22.0,,,0.0,0.0,0.0,0.0,,4.999999873689376e-05,63.31413269042969,0.1550731062889099,58.08595657348633,5.073105812072754,1.4362894296646118
11040,,,4.841838017455302e-05,,,,,,,,,,,
11049,23.0,,,,,,,1.492910385131836,,,,,,
11099,23.0,,,,,,,1.5595521926879883,,,,,,
11149,23.0,,,,,,,1.4577360153198242,,,,,,
11199,23.0,,,,,,,1.6562590599060059,,,,,,
11249,23.0,,,,,,,1.7361371517181396,,,,,,
11299,23.0,,,,,,,1.675281286239624,,,,,,
11349,23.0,,,,,,,1.5354095697402954,,,,,,
11399,23.0,,,,,,,1.575391411781311,,,,,,
11449,23.0,,,,,,,1.809255599975586,,,,,,
11499,23.0,,,,,,,1.7566604614257812,,,,,,
11519,23.0,,,0.0,0.0,0.0,0.0,,4.999999873689376e-05,59.76960754394531,0.24368630349636078,53.36730194091797,6.1586174964904785,1.3513447046279907
11520,,,4.827952216146514e-05,,,,,,,,,,,
11549,24.0,,,,,,,1.6180381774902344,,,,,,
11599,24.0,,,,,,,1.590293526649475,,,,,,
11649,24.0,,,,,,,1.4566562175750732,,,,,,
11699,24.0,,,,,,,1.7228327989578247,,,,,,
11749,24.0,,,,,,,1.4435949325561523,,,,,,
11799,24.0,,,,,,,1.4859402179718018,,,,,,
11849,24.0,,,,,,,1.5394777059555054,,,,,,
11899,24.0,,,,,,,1.524625301361084,,,,,,
11949,24.0,,,,,,,1.793796420097351,,,,,,
11999,24.0,,,0.0,0.0,0.0,0.0,1.3108594417572021,4.999999873689376e-05,58.61763381958008,0.06645990163087845,52.37040328979492,6.1807708740234375,1.3372862339019775
12000,,,4.8135047109099105e-05,,,,,,,,,,,
12049,25.0,,,,,,,1.6453423500061035,,,,,,
12099,25.0,,,,,,,1.3842685222625732,,,,,,
12149,25.0,,,,,,,1.649962306022644,,,,,,
12199,25.0,,,,,,,1.6694247722625732,,,,,,
12249,25.0,,,,,,,1.7408688068389893,,,,,,
12299,25.0,,,,,,,1.733863115310669,,,,,,
12349,25.0,,,,,,,1.692213535308838,,,,,,
12399,25.0,,,,,,,1.4545557498931885,,,,,,
12449,25.0,,,,,,,1.4563226699829102,,,,,,
12479,25.0,,,0.0,0.0,0.0,0.0,,4.999999873689376e-05,52.43686294555664,0.33229950070381165,43.42047119140625,8.684093475341797,1.2843639850616455
12480,,,4.7984987759264186e-05,,,,,,,,,,,
12499,26.0,,,,,,,1.3980653285980225,,,,,,
12549,26.0,,,,,,,1.4564900398254395,,,,,,
12599,26.0,,,,,,,1.5180401802062988,,,,,,
12649,26.0,,,,,,,1.2938560247421265,,,,,,
12699,26.0,,,,,,,1.6314265727996826,,,,,,
12749,26.0,,,,,,,1.5280981063842773,,,,,,
12799,26.0,,,,,,,1.5334641933441162,,,,,,
12849,26.0,,,,,,,1.808496117591858,,,,,,
12899,26.0,,,,,,,1.5374648571014404,,,,,,
12949,26.0,,,,,,,1.2635877132415771,,,,,,
12959,26.0,,,0.0,0.0,0.0,0.0,,4.999999873689376e-05,52.525474548339844,0.2658396065235138,44.81612777709961,7.443509101867676,1.24749755859375
12960,,,4.782938049174845e-05,,,,,,,,,,,
12999,27.0,,,,,,,1.6136459112167358,,,,,,
13049,27.0,,,,,,,1.339350938796997,,,,,,
13099,27.0,,,,,,,1.6586076021194458,,,,,,
13149,27.0,,,,,,,1.4821608066558838,,,,,,
13199,27.0,,,,,,,1.4067356586456299,,,,,,
13249,27.0,,,,,,,1.5376042127609253,,,,,,
13299,27.0,,,,,,,1.5815982818603516,,,,,,
13349,27.0,,,,,,,1.541825771331787,,,,,,
13399,27.0,,,,,,,1.4405767917633057,,,,,,
13439,27.0,,,0.0,0.0,0.0,0.0,,4.999999873689376e-05,52.12671661376953,0.35445281863212585,42.667259216308594,9.105006217956543,1.3030647039413452
13440,,,4.7668261686339974e-05,,,,,,,,,,,
13449,28.0,,,,,,,1.4225962162017822,,,,,,
13499,28.0,,,,,,,1.3251045942306519,,,,,,
13549,28.0,,,,,,,1.537584662437439,,,,,,
13599,28.0,,,,,,,1.4751274585723877,,,,,,
13649,28.0,,,,,,,1.472546100616455,,,,,,
13699,28.0,,,,,,,1.41299569606781,,,,,,
13749,28.0,,,,,,,1.367160677909851,,,,,,
13799,28.0,,,,,,,1.7624567747116089,,,,,,
13849,28.0,,,,,,,1.4683737754821777,,,,,,
13899,28.0,,,,,,,1.5005254745483398,,,,,,
13919,28.0,,,0.0,0.0,0.0,0.0,,4.999999873689376e-05,46.964996337890625,0.6202924251556396,35.09082794189453,11.253876686096191,1.2070249319076538
13920,,,4.750167499878444e-05,,,,,,,,,,,
13949,29.0,,,,,,,1.8953890800476074,,,,,,
13999,29.0,,,,,,,1.6892707347869873,,,,,,
14049,29.0,,,,,,,1.411715030670166,,,,,,
14099,29.0,,,,,,,1.1579344272613525,,,,,,
14149,29.0,,,,,,,1.439971923828125,,,,,,
14199,29.0,,,,,,,2.0507893562316895,,,,,,
14249,29.0,,,,,,,1.1071339845657349,,,,,,
14299,29.0,,,,,,,1.567954182624817,,,,,,
14349,29.0,,,,,,,1.757888913154602,,,,,,
14399,29.0,,,0.0,0.0,0.0,0.0,1.285837173461914,4.999999873689376e-05,46.27824401855469,0.6202924251556396,36.66371154785156,8.994239807128906,1.1839934587478638
14400,,,4.732966044684872e-05,,,,,,,,,,,
14449,30.0,,,,,,,1.9369176626205444,,,,,,
14499,30.0,,,,,,,1.4222326278686523,,,,,,
14549,30.0,,,,,,,1.5862969160079956,,,,,,
14599,30.0,,,,,,,1.4194849729537964,,,,,,
14649,30.0,,,,,,,1.3834326267242432,,,,,,
14699,30.0,,,,,,,1.399451494216919,,,,,,
14749,30.0,,,,,,,1.4737744331359863,,,,,,
14799,30.0,,,,,,,1.2834484577178955,,,,,,
14849,30.0,,,,,,,1.498788595199585,,,,,,
14879,30.0,,,0.0,0.0,0.0,0.0,,4.999999873689376e-05,46.123172760009766,0.48737260699272156,36.309261322021484,9.326539993286133,1.1688759326934814
