step,epoch,hp_metric,lr-Adam,test/CER,test/DER,test/IER,test/SER,test/loss,train/CER,train/DER,train/IER,train/SER,train/loss,train/lr,val/CER,val/DER,val/IER,val/SER,val/loss
3749,7.0,,,,,,,,,,,,2.0799453258514404,,,,,,
3799,7.0,,,,,,,,,,,,2.164879322052002,,,,,,
3839,7.0,,,,,,,,0.0,0.0,0.0,0.0,,4.973717295797542e-05,98.24988555908203,0.0,98.22773742675781,0.022153301164507866,1.91518235206604
3840,,,4.9656904593575746e-05,,,,,,,,,,,,,,,,
3849,8.0,,,,,,,,,,,,2.0487289428710938,,,,,,
3899,8.0,,,,,,,,,,,,2.010054349899292,,,,,,
3949,8.0,,,,,,,,,,,,2.1138596534729004,,,,,,
3999,8.0,,,,,,,,,,,,1.9434082508087158,,,,,,
4049,8.0,,,,,,,,,,,,2.0192642211914062,,,,,,
4099,8.0,,,,,,,,,,,,1.9652148485183716,,,,,,
4149,8.0,,,,,,,,,,,,1.9863393306732178,,,,,,
4199,8.0,,,,,,,,,,,,1.9849931001663208,,,,,,
4249,8.0,,,,,,,,,,,,1.7975506782531738,,,,,,
4299,8.0,,,,,,,,,,,,2.0111303329467773,,,,,,
4319,8.0,,,,,,,,0.0,0.0,0.0,0.0,,4.9656904593575746e-05,90.51838684082031,0.0,90.3411636352539,0.17722640931606293,1.826838493347168
4320,,,4.9566038796911016e-05,,,,,,,,,,,,,,,,
4349,9.0,,,,,,,,,,,,2.0490341186523438,,,,,,
4399,9.0,,,,,,,,,,,,2.0124993324279785,,,,,,
4449,9.0,,,,,,,,,,,,1.8106014728546143,,,,,,
4499,9.0,,,,,,,,,,,,2.172233819961548,,,,,,
4549,9.0,,,,,,,,,,,,1.8595798015594482,,,,,,
4599,9.0,,,,,,,,,,,,1.7514612674713135,,,,,,
4649,9.0,,,,,,,,,,,,1.9745635986328125,,,,,,
4699,9.0,,,,,,,,,,,,1.9283223152160645,,,,,,
4749,9.0,,,,,,,,,,,,1.7968500852584839,,,,,,
4799,9.0,,,,,,,,0.0,0.0,0.0,0.0,1.752776861190796,4.9566038796911016e-05,87.41692352294922,0.0,86.86309051513672,0.5538325309753418,1.7374954223632812
4800,,,4.9464615585748106e-05,,,,,,,,,,,,,,,,
4849,10.0,,,,,,,,,,,,1.88239586353302,,,,,,
4899,10.0,,,,,,,,,,,,1.9450323581695557,,,,,,
4949,10.0,,,,,,,,,,,,1.9440501928329468,,,,,,
4999,10.0,,,,,,,,,,,,1.7744369506835938,,,,,,
5049,10.0,,,,,,,,,,,,1.7829784154891968,,,,,,
5099,10.0,,,,,,,,,,,,1.7791802883148193,,,,,,
5149,10.0,,,,,,,,,,,,2.010415554046631,,,,,,
5199,10.0,,,,,,,,,,,,1.8756470680236816,,,,,,
5249,10.0,,,,,,,,,,,,1.941711664199829,,,,,,
5279,10.0,,,,,,,,0.0,0.0,0.0,0.0,,4.9464615585748106e-05,84.93575286865234,0.0,84.2933120727539,0.6424457430839539,1.665353536605835
5280,,,4.935268225381151e-05,,,,,,,,,,,,,,,,
5299,11.0,,,,,,,,,,,,1.862169861793518,,,,,,
5349,11.0,,,,,,,,,,,,1.6067297458648682,,,,,,
5399,11.0,,,,,,,,,,,,1.8128197193145752,,,,,,
5449,11.0,,,,,,,,,,,,1.6109132766723633,,,,,,
5499,11.0,,,,,,,,,,,,1.8932828903198242,,,,,,
5549,11.0,,,,,,,,,,,,1.730688214302063,,,,,,
5599,11.0,,,,,,,,,,,,1.7216441631317139,,,,,,
5649,11.0,,,,,,,,,,,,1.9353253841400146,,,,,,
5699,11.0,,,,,,,,,,,,1.7405955791473389,,,,,,
5749,11.0,,,,,,,,,,,,1.683211088180542,,,,,,
5759,11.0,,,,,,,,0.0,0.0,0.0,0.0,,4.935268225381151e-05,83.56224822998047,0.0,82.72042846679688,0.8418254256248474,1.5992032289505005
5760,,,4.9230286094825715e-05,,,,,,,,,,,,,,,,
5799,12.0,,,,,,,,,,,,1.8142138719558716,,,,,,
5849,12.0,,,,,,,,,,,,1.869794249534607,,,,,,
5899,12.0,,,,,,,,,,,,1.782639741897583,,,,,,
5949,12.0,,,,,,,,,,,,1.7556204795837402,,,,,,
5999,12.0,,,,,,,,,,,,1.865792155265808,,,,,,
6049,12.0,,,,,,,,,,,,1.669777274131775,,,,,,
6099,12.0,,,,,,,,,,,,1.7914189100265503,,,,,,
6149,12.0,,,,,,,,,,,,1.7197511196136475,,,,,,
6199,12.0,,,,,,,,,,,,1.9764792919158936,,,,,,
6239,12.0,,,,,,,,0.0,0.0,0.0,0.0,,4.9230286094825715e-05,83.78378295898438,0.0,82.98626708984375,0.7975188493728638,1.5720452070236206
6240,,,4.909748167847283e-05,,,,,,,,,,,,,,,,
6249,13.0,,,,,,,,,,,,1.5723484754562378,,,,,,
6299,13.0,,,,,,,,,,,,1.9084415435791016,,,,,,
6349,13.0,,,,,,,,,,,,1.6468257904052734,,,,,,
6399,13.0,,,,,,,,,,,,1.7850022315979004,,,,,,
6449,13.0,,,,,,,,,,,,1.8215259313583374,,,,,,
6499,13.0,,,,,,,,,,,,1.8249237537384033,,,,,,
6549,13.0,,,,,,,,,,,,1.9670870304107666,,,,,,
6599,13.0,,,,,,,,,,,,1.7026093006134033,,,,,,
6649,13.0,,,,,,,,,,,,2.016362428665161,,,,,,
6699,13.0,,,,,,,,,,,,1.692694902420044,,,,,,
6719,13.0,,,,,,,,0.0,0.0,0.0,0.0,,4.909748167847283e-05,82.16659545898438,0.0,81.28046417236328,0.8861320614814758,1.556710958480835
6720,,,4.895432721241377e-05,,,,,,,,,,,,,,,,
6749,14.0,,,,,,,,,,,,1.7178791761398315,,,,,,
6799,14.0,,,,,,,,,,,,1.643301248550415,,,,,,
6849,14.0,,,,,,,,,,,,1.8036705255508423,,,,,,
6899,14.0,,,,,,,,,,,,1.5554887056350708,,,,,,
6949,14.0,,,,,,,,,,,,1.728521466255188,,,,,,
6999,14.0,,,,,,,,,,,,1.9381799697875977,,,,,,
7049,14.0,,,,,,,,,,,,1.37632155418396,,,,,,
7099,14.0,,,,,,,,,,,,1.5813530683517456,,,,,,
7149,14.0,,,,,,,,,,,,1.6166000366210938,,,,,,
7199,14.0,,,,,,,,0.0,0.0,0.0,0.0,1.645310640335083,4.895432721241377e-05,78.11254119873047,0.0,76.62826538085938,1.4842711687088013,1.4795913696289062
7200,,,4.880088454228826e-05,,,,,,,,,,,,,,,,
7249,15.0,,,,,,,,,,,,1.5781465768814087,,,,,,
7299,15.0,,,,,,,,,,,,1.6070467233657837,,,,,,
7349,15.0,,,,,,,,,,,,1.562105655670166,,,,,,
7399,15.0,,,,,,,,,,,,1.615424394607544,,,,,,
7449,15.0,,,,,,,,,,,,1.7036077976226807,,,,,,
7499,15.0,,,,,,,,,,,,1.8955678939819336,,,,,,
7549,15.0,,,,,,,,,,,,1.938331127166748,,,,,,
7599,15.0,,,,,,,,,,,,1.7645387649536133,,,,,,
7649,15.0,,,,,,,,,,,,1.5472862720489502,,,,,,
7679,15.0,,,,,,,,0.0,0.0,0.0,0.0,,4.880088454228826e-05,72.88436126708984,0.022153301164507866,69.49490356445312,3.3673017024993896,1.4479097127914429
7680,,,4.8637222789693624e-05,,,,,,,,,,,,,,,,
7699,16.0,,,,,,,,,,,,1.411597490310669,,,,,,
7749,16.0,,,,,,,,,,,,1.681277871131897,,,,,,
7799,16.0,,,,,,,,,,,,1.5350673198699951,,,,,,
7849,16.0,,,,,,,,,,,,1.508068323135376,,,,,,
7899,16.0,,,,,,,,,,,,1.542954921722412,,,,,,
7949,16.0,,,,,,,,,,,,1.574124813079834,,,,,,
7999,16.0,,,,,,,,,,,,1.6105016469955444,,,,,,
8049,16.0,,,,,,,,,,,,1.5107711553573608,,,,,,
8099,16.0,,,,,,,,,,,,1.5573813915252686,,,,,,
8149,16.0,,,,,,,,,,,,1.5535094738006592,,,,,,
8159,16.0,,,,,,,,0.0,0.0,0.0,0.0,,4.8637222789693624e-05,70.02658081054688,0.08861320465803146,65.68453979492188,4.253433704376221,1.4055885076522827
8160,,,4.8463407438248396e-05,,,,,,,,,,,,,,,,
8199,17.0,,,,,,,,,,,,1.3791930675506592,,,,,,
8249,17.0,,,,,,,,,,,,1.510345458984375,,,,,,
8299,17.0,,,,,,,,,,,,1.5123077630996704,,,,,,
8349,17.0,,,,,,,,,,,,1.519635796546936,,,,,,
8399,17.0,,,,,,,,,,,,1.5239672660827637,,,,,,
8449,17.0,,,,,,,,,,,,1.644965648651123,,,,,,
8499,17.0,,,,,,,,,,,,1.5684995651245117,,,,,,
8549,17.0,,,,,,,,,,,,1.6227446794509888,,,,,,
8599,17.0,,,,,,,,,,,,1.5431431531906128,,,,,,
8639,17.0,,,,,,,,0.0,0.0,0.0,0.0,,4.8463407438248396e-05,63.66858673095703,0.1550731062889099,57.22197723388672,6.291537284851074,1.3313677310943604
8640,,,4.827952216146514e-05,,,,,,,,,,,,,,,,
8649,18.0,,,,,,,,,,,,1.3428778648376465,,,,,,
8699,18.0,,,,,,,,,,,,1.474388599395752,,,,,,
8749,18.0,,,,,,,,,,,,1.40909743309021,,,,,,
8799,18.0,,,,,,,,,,,,1.3816664218902588,,,,,,
8849,18.0,,,,,,,,,,,,1.4848573207855225,,,,,,
8899,18.0,,,,,,,,,,,,1.3350880146026611,,,,,,
8949,18.0,,,,,,,,,,,,1.486591100692749,,,,,,
8999,18.0,,,,,,,,,,,,1.7344560623168945,,,,,,
9049,18.0,,,,,,,,,,,,1.3564668893814087,,,,,,
9099,18.0,,,,,,,,,,,,1.427323818206787,,,,,,
9119,18.0,,,,,,,,0.0,0.0,0.0,0.0,,4.827952216146514e-05,59.2379264831543,0.19937971234321594,52.392555236816406,6.645990371704102,1.2891093492507935
9120,,,4.808564699487761e-05,,,,,,,,,,,,,,,,
9149,19.0,,,,,,,,,,,,1.408019781112671,,,,,,
9199,19.0,,,,,,,,,,,,1.6001722812652588,,,,,,
9249,19.0,,,,,,,,,,,,1.4393863677978516,,,,,,
9299,19.0,,,,,,,,,,,,1.5528428554534912,,,,,,
9349,19.0,,,,,,,,,,,,1.3430038690567017,,,,,,
9399,19.0,,,,,,,,,,,,1.482784628868103,,,,,,
9449,19.0,,,,,,,,,,,,1.541265845298767,,,,,,
9499,19.0,,,,,,,,,,,,1.6020516157150269,,,,,,
9549,19.0,,,,,,,,,,,,1.7614505290985107,,,,,,
9599,19.0,,,,,,,,0.0,0.0,0.0,0.0,1.3142402172088623,4.808564699487761e-05,54.31989288330078,0.287992924451828,46.30039978027344,7.731502056121826,1.226392388343811
9600,,,4.788186197401956e-05,,,,,,,,,,,,,,,,
9649,20.0,,,,,,,,,,,,1.4506592750549316,,,,,,
9699,20.0,,,,,,,,,,,,1.426086187362671,,,,,,
9749,20.0,,,,,,,,,,,,1.6462016105651855,,,,,,
9799,20.0,,,,,,,,,,,,1.2695101499557495,,,,,,
9849,20.0,,,,,,,,,,,,1.417421817779541,,,,,,
9899,20.0,,,,,,,,,,,,1.255286693572998,,,,,,
9949,20.0,,,,,,,,,,,,1.425278902053833,,,,,,
9999,20.0,,,,,,,,,,,,1.7431491613388062,,,,,,
10049,20.0,,,,,,,,,,,,1.5552929639816284,,,,,,
10079,20.0,,,,,,,,0.0,0.0,0.0,0.0,,4.788186197401956e-05,49.13602066040039,0.575985848903656,38.85688781738281,9.703145980834961,1.1835600137710571
10080,,,4.7668261686339974e-05,,,,,,,,,,,,,,,,
10099,21.0,,,,,,,,,,,,1.2750506401062012,,,,,,
10149,21.0,,,,,,,,,,,,1.3411507606506348,,,,,,
10199,21.0,,,,,,,,,,,,1.3250300884246826,,,,,,
10249,21.0,,,,,,,,,,,,1.4403321743011475,,,,,,
10299,21.0,,,,,,,,,,,,1.4080705642700195,,,,,,
10349,21.0,,,,,,,,,,,,1.3791189193725586,,,,,,
10399,21.0,,,,,,,,,,,,1.594928503036499,,,,,,
10449,21.0,,,,,,,,,,,,1.2982778549194336,,,,,,
10499,21.0,,,,,,,,,,,,1.4421069622039795,,,,,,
10549,21.0,,,,,,,,,,,,1.3383195400238037,,,,,,
10559,21.0,,,,,,,,0.0,0.0,0.0,0.0,,4.7668261686339974e-05,48.95879364013672,0.5981391072273254,38.94550323486328,9.415152549743652,1.1839534044265747
10560,,,4.7444937081309035e-05,,,,,,,,,,,,,,,,
10599,22.0,,,,,,,,,,,,1.26493501663208,,,,,,
10649,22.0,,,,,,,,,,,,1.0677732229232788,,,,,,
10699,22.0,,,,,,,,,,,,1.436352014541626,,,,,,
10749,22.0,,,,,,,,,,,,1.6661242246627808,,,,,,
10799,22.0,,,,,,,,,,,,1.3482561111450195,,,,,,
10849,22.0,,,,,,,,,,,,1.4210175275802612,,,,,,
