step,epoch,lr-Adam,train/CER,train/DER,train/IER,train/SER,train/loss,val/CER,val/DER,val/IER,val/SER,val/loss
899,8,,,,,,3.2364706993103027,,,,,
949,8,,,,,,3.128191947937012,,,,,
959,8,,100.0,0.0,100.0,0.0,,100.0,0.0,100.0,0.0,3.110987901687622
960,9,0.0004444455553311,,,,,,,,,,
999,9,,,,,,3.080760955810547,,,,,
1049,9,,,,,,3.135364294052124,,,,,
1079,9,,100.0,0.0,100.0,0.0,,100.0,0.0,100.0,0.0,3.092531681060791
1080,10,0.0005000000237487,,,,,,,,,,
1099,10,,,,,,3.231919050216675,,,,,
1149,10,,,,,,3.151204824447632,,,,,
1199,10,,100.0,0.0,100.0,0.0,3.078454732894897,100.0,0.0,100.0,0.0,3.0443129539489746
1200,11,0.0005000000237487,,,,,,,,,,
1249,11,,,,,,3.128190994262696,,,,,
1299,11,,,,,,3.122702121734619,,,,,
1319,11,,100.0,0.0,100.0,0.0,,100.0,0.0,100.0,0.0,3.013763904571533
1320,12,0.0004999371594749,,,,,,,,,,
1349,12,,,,,,3.120421886444092,,,,,
1399,12,,,,,,3.5461201667785645,,,,,
1439,12,,100.0,0.0,100.0,0.0,,100.0,0.0,100.0,0.0,3.061955690383911
1440,13,0.0004997487412765,,,,,,,,,,
1449,13,,,,,,3.143666505813598,,,,,
1499,13,,,,,,2.916277885437012,,,,,
1549,13,,,,,,2.987910270690918,,,,,
1559,13,,99.99862670898438,0.0,99.99862670898438,0.0,,100.0,0.0,100.0,0.0,2.926553964614868
1560,14,0.0004994348273612,,,,,,,,,,
1599,14,,,,,,2.9648261070251465,,,,,
1649,14,,,,,,2.9360060691833496,,,,,
1679,14,,99.99862670898438,0.0,99.99724578857422,0.0013766709016636,,100.0,0.0,100.0,0.0,2.94840407371521
1680,15,0.000498995592352,,,,,,,,,,
1699,15,,,,,,2.9660494327545166,,,,,
1749,15,,,,,,2.856167316436768,,,,,
