step,epoch,lr-Adam,train/CER,train/DER,train/IER,train/SER,train/loss,val/CER,val/DER,val/IER,val/SER,val/loss
2999,25,,34.859989166259766,6.255157470703125,13.481322288513184,15.123507499694824,1.0798348188400269,36.043418884277344,6.13646411895752,12.693840980529783,17.213115692138672,1.09756338596344
3000,26,0.0004859988985117,,,,,,,,,,
3049,26,,,,,,1.1225154399871826,,,,,
3099,26,,,,,,1.002326726913452,,,,,
3119,26,,33.83488845825195,6.321498870849609,12.600321769714355,14.913065910339355,,39.69871520996094,4.940186023712158,17.855560302734375,16.902969360351562,1.2533310651779177
3120,27,0.0004840905894525,,,,,,,,,,
3149,27,,,,,,0.9706590175628662,,,,,
3199,27,,,,,,0.9585255980491638,,,,,
3239,27,,32.39858627319336,6.574986934661865,11.632562637329102,14.191036224365234,,35.37882232666016,5.538325309753418,12.959680557250977,16.880815505981445,1.0799415111541748
3240,28,0.0004820647009182,,,,,,,,,,
3249,28,,,,,,0.8482822775840759,,,,,
3299,28,,,,,,1.0326002836227417,,,,,
3349,28,,,,,,0.8491203188896179,,,,,
3359,28,,30.3736572265625,6.517993927001953,9.966506958007812,13.88915729522705,,33.14133834838867,6.490917205810547,9.592379570007324,17.058042526245117,1.0397169589996338
3360,29,0.0004799221933353,,,,,,,,,,
3399,29,,,,,,0.9275065660476683,,,,,
3449,29,,,,,,0.8068839311599731,,,,,
3479,29,,29.24083137512207,6.581670761108398,9.312305450439451,13.34685516357422,,38.21444320678711,4.740806579589844,16.991580963134766,16.4820556640625,1.104252815246582
3480,30,0.0004776641435455,,,,,,,,,,
3499,30,,,,,,0.9221031665802002,,,,,
3549,30,,,,,,0.7890058755874634,,,,,
3599,30,,27.072067260742188,6.594283580780029,8.098363876342773,12.379419326782228,0.8187654614448547,34.581302642822266,6.956136226654053,9.19361972808838,18.431547164916992,1.1284520626068115
3600,31,0.0004752917448058,,,,,,,,,,
3649,31,,,,,,0.8306169509887695,,,,,
3699,31,,,,,,0.8657875061035156,,,,,
3719,31,,26.543302536010746,6.523261070251465,7.738136291503906,12.281906127929688,,40.34115982055664,3.190075397491455,21.35578155517578,15.795303344726562,1.188615083694458
3720,32,0.0004728061321657,,,,,,,,,,
3749,32,,,,,,0.7300556898117065,,,,,
3799,32,,,,,,0.7825037240982056,,,,,
3839,32,,26.120420455932617,6.436822891235352,7.609908103942871,12.073689460754396,,30.992467880249023,6.446610450744629,8.24102783203125,16.304828643798828,0.985800564289093
3840,33,0.0004702085861936,,,,,,,,,,
3849,33,,,,,,0.7646567225456238,,,,,
3899,33,,,,,,0.7760158777236938,,,,,
3949,33,,,,,,0.8228822350502014,,,,,
3959,33,,25.13932609558105,6.480715274810791,7.013187885284424,11.64542293548584,,31.36907386779785,5.626938343048096,9.74745273590088,15.994683265686035,1.025872826576233
3960,34,0.0004675004165619,,,,,,,,,,
3999,34,,,,,,0.6995394229888916,,,,,
4049,34,,,,,,0.7420362234115601,,,,,
4079,34,,24.300994873046875,6.415286540985107,6.708517551422119,11.177191734313965,,28.09038543701172,5.582631587982178,8.130261421203613,14.37749195098877,0.9282220602035522
