step,epoch,hp_metric,lr-Adam,train/CER,train/DER,train/IER,train/SER,train/loss,train/lr,val/CER,val/DER,val/IER,val/SER,val/loss
0,,-1.0,9.99999993922529e-09,,,,,,,,,,,
49,0.0,,,,,,,135.95068359375,,,,,,
99,0.0,,,,,,,135.26889038085938,,,,,,
149,0.0,,,,,,,139.6664276123047,,,,,,
199,0.0,,,,,,,129.00637817382812,,,,,,
249,0.0,,,,,,,132.7183074951172,,,,,,
299,0.0,,,,,,,155.1003875732422,,,,,,
349,0.0,,,,,,,188.20960998535156,,,,,,
399,0.0,,,,,,,168.8983917236328,,,,,,
449,0.0,,,,,,,137.3385467529297,,,,,,
479,0.0,,,0.0,0.0,0.0,0.0,,9.99999993922529e-09,658.8170166015625,582.0115356445312,0.0,76.80549621582031,132.7810821533203
480,,,5.564444563788129e-06,,,,,,,,,,,
499,1.0,,,,,,,150.2197265625,,,,,,
549,1.0,,,,,,,106.6204605102539,,,,,,
599,1.0,,,,,,,84.00997924804688,,,,,,
649,1.0,,,,,,,81.38037109375,,,,,,
699,1.0,,,,,,,81.03544616699219,,,,,,
749,1.0,,,,,,,49.5985221862793,,,,,,
799,1.0,,,,,,,44.55467224121094,,,,,,
849,1.0,,,,,,,29.9633731842041,,,,,,
899,1.0,,,,,,,28.66181182861328,,,,,,
949,1.0,,,,,,,18.925559997558594,,,,,,
959,1.0,,,0.0,0.0,0.0,0.0,,5.564444563788129e-06,100.0,0.0,100.0,0.0,15.481916427612305
960,,,1.1118889233330265e-05,,,,,,,,,,,
999,2.0,,,,,,,12.442462921142578,,,,,,
1049,2.0,,,,,,,9.51227855682373,,,,,,
1099,2.0,,,,,,,4.671481609344482,,,,,,
1149,2.0,,,,,,,3.6750986576080322,,,,,,
1199,2.0,,,,,,,3.419097900390625,,,,,,
1249,2.0,,,,,,,3.275397539138794,,,,,,
1299,2.0,,,,,,,3.2974207401275635,,,,,,
1349,2.0,,,,,,,3.2669076919555664,,,,,,
1399,2.0,,,,,,,3.3455746173858643,,,,,,
1439,2.0,,,0.0,0.0,0.0,0.0,,1.1118889233330265e-05,100.0,0.0,100.0,0.0,3.2579538822174072
1440,,,1.667333344812505e-05,,,,,,,,,,,
1449,3.0,,,,,,,3.135462760925293,,,,,,
1499,3.0,,,,,,,3.219029426574707,,,,,,
1549,3.0,,,,,,,3.3928375244140625,,,,,,
1599,3.0,,,,,,,3.2428646087646484,,,,,,
1649,3.0,,,,,,,3.189415216445923,,,,,,
1699,3.0,,,,,,,3.1705214977264404,,,,,,
1749,3.0,,,,,,,3.2750959396362305,,,,,,
1799,3.0,,,,,,,3.327396869659424,,,,,,
1849,3.0,,,,,,,3.1674857139587402,,,,,,
1899,3.0,,,,,,,3.3861517906188965,,,,,,
1919,3.0,,,0.0,0.0,0.0,0.0,,1.667333344812505e-05,100.0,0.0,100.0,0.0,3.2384109497070312
1920,,,2.2227777662919834e-05,,,,,,,,,,,
1949,4.0,,,,,,,3.240945816040039,,,,,,
1999,4.0,,,,,,,3.183692455291748,,,,,,
2049,4.0,,,,,,,3.2937703132629395,,,,,,
2099,4.0,,,,,,,3.1885015964508057,,,,,,
2149,4.0,,,,,,,3.232816457748413,,,,,,
2199,4.0,,,,,,,3.128636598587036,,,,,,
2249,4.0,,,,,,,3.081460952758789,,,,,,
2299,4.0,,,,,,,3.090104103088379,,,,,,
2349,4.0,,,,,,,3.1739630699157715,,,,,,
2399,4.0,,,0.0,0.0,0.0,0.0,2.909452199935913,2.2227777662919834e-05,100.0,0.0,100.0,0.0,3.0434463024139404
2400,,,2.778222187771462e-05,,,,,,,,,,,
2449,5.0,,,,,,,3.106616973876953,,,,,,
2499,5.0,,,,,,,3.180797576904297,,,,,,
2549,5.0,,,,,,,2.917722225189209,,,,,,
2599,5.0,,,,,,,3.0751867294311523,,,,,,
2649,5.0,,,,,,,3.065694808959961,,,,,,
2699,5.0,,,,,,,2.973201036453247,,,,,,
2749,5.0,,,,,,,2.919708251953125,,,,,,
2799,5.0,,,,,,,2.9977071285247803,,,,,,
2849,5.0,,,,,,,2.907085657119751,,,,,,
2879,5.0,,,0.0,0.0,0.0,0.0,,2.778222187771462e-05,100.0,0.0,100.0,0.0,2.8784232139587402
2880,,,3.3336666092509404e-05,,,,,,,,,,,
2899,6.0,,,,,,,3.1245625019073486,,,,,,
2949,6.0,,,,,,,2.8433966636657715,,,,,,
2999,6.0,,,,,,,2.9949121475219727,,,,,,
3049,6.0,,,,,,,2.8348240852355957,,,,,,
3099,6.0,,,,,,,2.870121717453003,,,,,,
3149,6.0,,,,,,,2.9128003120422363,,,,,,
3199,6.0,,,,,,,2.862788200378418,,,,,,
3249,6.0,,,,,,,2.86769437789917,,,,,,
3299,6.0,,,,,,,2.651308298110962,,,,,,
3349,6.0,,,,,,,2.7657971382141113,,,,,,
3359,6.0,,,0.0,0.0,0.0,0.0,,3.3336666092509404e-05,100.0,0.0,100.0,0.0,2.732846736907959
3360,,,3.889111030730419e-05,,,,,,,,,,,
3399,7.0,,,,,,,2.783637046813965,,,,,,
3449,7.0,,,,,,,2.859064817428589,,,,,,
3499,7.0,,,,,,,2.682260274887085,,,,,,
3549,7.0,,,,,,,2.829684257507324,,,,,,
3599,7.0,,,,,,,2.706810474395752,,,,,,
3649,7.0,,,,,,,2.6430084705352783,,,,,,
3699,7.0,,,,,,,2.5485682487487793,,,,,,
3749,7.0,,,,,,,2.8159499168395996,,,,,,
3799,7.0,,,,,,,2.5680360794067383,,,,,,
3839,7.0,,,0.0,0.0,0.0,0.0,,3.889111030730419e-05,100.0,0.0,100.0,0.0,2.531334638595581
3840,,,4.4445554522098973e-05,,,,,,,,,,,
3849,8.0,,,,,,,2.6301510334014893,,,,,,
3899,8.0,,,,,,,2.6212711334228516,,,,,,
3949,8.0,,,,,,,2.487531900405884,,,,,,
3999,8.0,,,,,,,2.4973371028900146,,,,,,
4049,8.0,,,,,,,2.496774673461914,,,,,,
4099,8.0,,,,,,,2.51450252532959,,,,,,
4149,8.0,,,,,,,2.235778331756592,,,,,,
4199,8.0,,,,,,,2.4081904888153076,,,,,,
4249,8.0,,,,,,,2.2108874320983887,,,,,,
4299,8.0,,,,,,,2.5008621215820312,,,,,,
4319,8.0,,,0.0,0.0,0.0,0.0,,4.4445554522098973e-05,100.0,0.0,100.0,0.0,2.287060499191284
4320,,,4.999999873689376e-05,,,,,,,,,,,
4349,9.0,,,,,,,2.3984527587890625,,,,,,
4399,9.0,,,,,,,2.3925671577453613,,,,,,
4449,9.0,,,,,,,2.4196338653564453,,,,,,
4499,9.0,,,,,,,2.485482931137085,,,,,,
4549,9.0,,,,,,,2.339953899383545,,,,,,
4599,9.0,,,,,,,2.223132610321045,,,,,,
4649,9.0,,,,,,,2.380023241043091,,,,,,
4699,9.0,,,,,,,2.292269229888916,,,,,,
4749,9.0,,,,,,,2.2424569129943848,,,,,,
4799,9.0,,,0.0,0.0,0.0,0.0,2.1582484245300293,4.999999873689376e-05,100.0,0.0,100.0,0.0,2.136021375656128
4800,,,4.999999873689376e-05,,,,,,,,,,,
4849,10.0,,,,,,,2.206779956817627,,,,,,
4899,10.0,,,,,,,2.121032238006592,,,,,,
4949,10.0,,,,,,,2.2086706161499023,,,,,,
4999,10.0,,,,,,,2.076510429382324,,,,,,
5049,10.0,,,,,,,2.0839860439300537,,,,,,
5099,10.0,,,,,,,1.9895167350769043,,,,,,
5149,10.0,,,,,,,2.1069746017456055,,,,,,
5199,10.0,,,,,,,2.155381917953491,,,,,,
5249,10.0,,,,,,,2.0525424480438232,,,,,,
5279,10.0,,,0.0,0.0,0.0,0.0,,4.999999873689376e-05,100.0,0.0,100.0,0.0,2.0089824199676514
5280,,,4.9996651796391234e-05,,,,,,,,,,,
5299,11.0,,,,,,,2.1535120010375977,,,,,,
5349,11.0,,,,,,,1.9789257049560547,,,,,,
5399,11.0,,,,,,,1.9914630651474,,,,,,
5449,11.0,,,,,,,2.004265546798706,,,,,,
5499,11.0,,,,,,,1.9557647705078125,,,,,,
5549,11.0,,,,,,,1.8562800884246826,,,,,,
5599,11.0,,,,,,,1.9034230709075928,,,,,,
5649,11.0,,,,,,,2.1693222522735596,,,,,,
5699,11.0,,,,,,,2.0673890113830566,,,,,,
5749,11.0,,,,,,,2.0170273780822754,,,,,,
5759,11.0,,,0.0,0.0,0.0,0.0,,4.9996651796391234e-05,96.7213134765625,0.0,96.4997787475586,0.22153301537036896,1.877342939376831
5760,,,4.9986603698926046e-05,,,,,,,,,,,
5799,12.0,,,,,,,2.027501344680786,,,,,,
5849,12.0,,,,,,,1.9091157913208008,,,,,,
5899,12.0,,,,,,,2.034486770629883,,,,,,
5949,12.0,,,,,,,1.9768035411834717,,,,,,
5999,12.0,,,,,,,2.175408363342285,,,,,,
6049,12.0,,,,,,,1.856020450592041,,,,,,
6099,12.0,,,,,,,1.8865704536437988,,,,,,
6149,12.0,,,,,,,1.8365333080291748,,,,,,
6199,12.0,,,,,,,1.9636574983596802,,,,,,
6239,12.0,,,0.0,0.0,0.0,0.0,,4.9986603698926046e-05,92.26850128173828,0.0,92.04696655273438,0.22153301537036896,1.7311158180236816
6240,,,4.996986535843462e-05,,,,,,,,,,,
6249,13.0,,,,,,,1.7868517637252808,,,,,,
6299,13.0,,,,,,,1.9109212160110474,,,,,,
6349,13.0,,,,,,,1.8057307004928589,,,,,,
6399,13.0,,,,,,,1.9011033773422241,,,,,,
6449,13.0,,,,,,,2.013603687286377,,,,,,
6499,13.0,,,,,,,1.8489406108856201,,,,,,
6549,13.0,,,,,,,2.104257583618164,,,,,,
6599,13.0,,,,,,,1.8251017332077026,,,,,,
6649,13.0,,,,,,,2.0211195945739746,,,,,,
6699,13.0,,,,,,,1.8864214420318604,,,,,,
6719,13.0,,,0.0,0.0,0.0,0.0,,4.996986535843462e-05,88.56889343261719,0.0,88.1258316040039,0.4430660307407379,1.6660958528518677
6720,,,4.994643313693814e-05,,,,,,,,,,,
6749,14.0,,,,,,,1.9595038890838623,,,,,,
6799,14.0,,,,,,,1.869220495223999,,,,,,
6849,14.0,,,,,,,1.6763980388641357,,,,,,
6899,14.0,,,,,,,1.8942080736160278,,,,,,
6949,14.0,,,,,,,1.6587507724761963,,,,,,
6999,14.0,,,,,,,1.9276525974273682,,,,,,
7049,14.0,,,,,,,1.7393220663070679,,,,,,
7099,14.0,,,,,,,1.5857517719268799,,,,,,
7149,14.0,,,,,,,1.8673503398895264,,,,,,
7199,14.0,,,0.0,0.0,0.0,0.0,1.7492974996566772,4.994643313693814e-05,86.90740203857422,0.0,86.33141326904297,0.575985848903656,1.630523920059204
7200,,,4.991632158635184e-05,,,,,,,,,,,
7249,15.0,,,,,,,1.7953441143035889,,,,,,
7299,15.0,,,,,,,1.70462167263031,,,,,,
7349,15.0,,,,,,,1.612274169921875,,,,,,
7399,15.0,,,,,,,1.815373420715332,,,,,,
7449,15.0,,,,,,,1.7448503971099854,,,,,,
7499,15.0,,,,,,,1.8931363821029663,,,,,,
7549,15.0,,,,,,,1.665636658668518,,,,,,
7599,15.0,,,,,,,1.7093839645385742,,,,,,
7649,15.0,,,,,,,1.6190869808197021,,,,,,
7679,15.0,,,0.0,0.0,0.0,0.0,,4.991632158635184e-05,85.62250518798828,0.0,85.20159149169922,0.4209127128124237,1.5803745985031128
7680,,,4.987953070667572e-05,,,,,,,,,,,
7699,16.0,,,,,,,1.7127255201339722,,,,,,
7749,16.0,,,,,,,1.653568983078003,,,,,,
7799,16.0,,,,,,,1.6876482963562012,,,,,,
7849,16.0,,,,,,,1.6256356239318848,,,,,,
7899,16.0,,,,,,,1.6429415941238403,,,,,,
7949,16.0,,,,,,,1.7584171295166016,,,,,,
7999,16.0,,,,,,,1.50325608253479,,,,,,
8049,16.0,,,,,,,1.6377177238464355,,,,,,
8099,16.0,,,,,,,1.81536865234375,,,,,,
8149,16.0,,,,,,,1.5897743701934814,,,,,,
8159,16.0,,,0.0,0.0,0.0,0.0,,4.987953070667572e-05,83.56224822998047,0.0,82.89765167236328,0.6645990014076233,1.512957215309143
8160,,,4.983607868780382e-05,,,,,,,,,,,
8199,17.0,,,,,,,1.5917466878890991,,,,,,
8249,17.0,,,,,,,1.6049549579620361,,,,,,
8299,17.0,,,,,,,1.6936373710632324,,,,,,
8349,17.0,,,,,,,1.6845691204071045,,,,,,
8399,17.0,,,,,,,1.633123517036438,,,,,,
8449,17.0,,,,,,,1.5920946598052979,,,,,,
8499,17.0,,,,,,,1.7960748672485352,,,,,,
8549,17.0,,,,,,,1.7473859786987305,,,,,,
8599,17.0,,,,,,,1.7596015930175781,,,,,,
8639,17.0,,,0.0,0.0,0.0,0.0,,4.983607868780382e-05,81.21400451660156,0.0,79.97341918945312,1.2405848503112793,1.4587979316711426
8640,,,4.978596916771494e-05,,,,,,,,,,,
8649,18.0,,,,,,,1.5625474452972412,,,,,,
8699,18.0,,,,,,,1.5561310052871704,,,,,,
8749,18.0,,,,,,,1.6454238891601562,,,,,,
8799,18.0,,,,,,,1.345128059387207,,,,,,
8849,18.0,,,,,,,1.6454330682754517,,,,,,
8899,18.0,,,,,,,1.49248468875885,,,,,,
8949,18.0,,,,,,,1.6578137874603271,,,,,,
8999,18.0,,,,,,,1.5923304557800293,,,,,,
9049,18.0,,,,,,,1.5082783699035645,,,,,,
9099,18.0,,,,,,,1.510298728942871,,,,,,
