step,epoch,hp_metric,lr-Adam,test/CER,test/DER,test/IER,test/SER,test/loss,train/CER,train/DER,train/IER,train/SER,train/loss,train/lr,val/CER,val/DER,val/IER,val/SER,val/loss
0,,-1.0,4.999999987376214e-07,,,,,,,,,,,,,,,,
49,0.0,,,,,,,,,,,,0.4052419066429138,,,,,,
99,0.0,,,,,,,,,,,,0.20985549688339233,,,,,,
149,0.0,,,,,,,,,,,,0.23685100674629211,,,,,,
199,0.0,,,,,,,,,,,,0.38181808590888977,,,,,,
249,0.0,,,,,,,,,,,,0.34565186500549316,,,,,,
299,0.0,,,,,,,,,,,,0.32645362615585327,,,,,,
349,0.0,,,,,,,,,,,,0.34667256474494934,,,,,,
399,0.0,,,,,,,,,,,,0.2518748641014099,,,,,,
449,0.0,,,,,,,,,,,,0.2839457094669342,,,,,,
479,0.0,,,,,,,,0.0,0.0,0.0,0.0,,4.999999987376214e-07,16.814355850219727,2.0602569580078125,5.471865177154541,9.282233238220215,0.7113726735115051
480,,,5.000308647140628e-07,,,,,,,,,,,,,,,,
499,1.0,,,,,,,,,,,,0.3102831244468689,,,,,,
549,1.0,,,,,,,,,,,,0.5469869375228882,,,,,,
599,1.0,,,,,,,,,,,,0.28513064980506897,,,,,,
649,1.0,,,,,,,,,,,,0.327653706073761,,,,,,
699,1.0,,,,,,,,,,,,0.32560914754867554,,,,,,
749,1.0,,,,,,,,,,,,0.3068733215332031,,,,,,
799,1.0,,,,,,,,,,,,0.3054639399051666,,,,,,
849,1.0,,,,,,,,,,,,0.24816881120204926,,,,,,
899,1.0,,,,,,,,,,,,0.42645150423049927,,,,,,
949,1.0,,,,,,,,,,,,0.2726063132286072,,,,,,
959,1.0,,,,,,,,0.0,0.0,0.0,0.0,,5.000308647140628e-07,17.013734817504883,1.9716438055038452,5.516171932220459,9.525918960571289,0.7109172940254211
960,,,5.001233489565493e-07,,,,,,,,,,,,,,,,
999,2.0,,,,,,,,,,,,0.5584224462509155,,,,,,
1049,2.0,,,,,,,,,,,,0.383587121963501,,,,,,
1099,2.0,,,,,,,,,,,,0.28067249059677124,,,,,,
1149,2.0,,,,,,,,,,,,0.3983914256095886,,,,,,
1199,2.0,,,,,,,,,,,,0.3564817011356354,,,,,,
1249,2.0,,,,,,,,,,,,0.5804773569107056,,,,,,
1299,2.0,,,,,,,,,,,,0.48205775022506714,,,,,,
1349,2.0,,,,,,,,,,,,0.3635596036911011,,,,,,
1399,2.0,,,,,,,,,,,,0.3776887357234955,,,,,,
1439,2.0,,,,,,,,0.0,0.0,0.0,0.0,,5.001233489565493e-07,17.124502182006836,2.0824103355407715,5.516171932220459,9.525918960571289,0.7151637673377991
1440,,,5.002775083084998e-07,,,,,,,,,,,,,,,,
1449,3.0,,,,,,,,,,,,0.48983481526374817,,,,,,
1499,3.0,,,,,,,,,,,,0.29551318287849426,,,,,,
1549,3.0,,,,,,,,,,,,0.322839617729187,,,,,,
1599,3.0,,,,,,,,,,,,0.29309239983558655,,,,,,
1649,3.0,,,,,,,,,,,,0.34169089794158936,,,,,,
1699,3.0,,,,,,,,,,,,0.29281681776046753,,,,,,
1749,3.0,,,,,,,,,,,,0.3597373962402344,,,,,,
